Search_Category,Search_Time,Search_Word
일식,2019-05-23 20:46:42.303295,사시미
분식,2019-05-23 23:05:42.319914,김밥
분식,2019-05-23 23:07:07.375436,김밥
중식,2019-05-24 00:18:01.236634,자장면
양식,2019-05-24 03:19:30.065252,샐러드
양식,2019-05-24 07:53:44.969200,스테이크
한식,2019-05-24 14:17:20.829733,떡갈비
일식,2019-05-24 17:39:39.888618,초밥
양식,2019-05-24 18:06:44.742047,파스타
일식,2019-05-24 20:35:17.289094,우동
일식,2019-05-24 21:41:48.613386,사시미
양식,2019-05-24 23:26:25.115135,스테이크
중식,2019-05-24 23:36:37.331417,자장면
중식,2019-05-25 05:46:55.521296,짬뽕
중식,2019-05-25 07:27:21.029171,짬뽕
한식,2019-05-25 13:22:07.052227,김치전
중식,2019-05-25 15:57:41.289233,칠리새우
양식,2019-05-25 16:07:05.744839,파스타
중식,2019-05-25 16:15:11.950281,짬뽕
중식,2019-05-25 16:18:26.630427,짬뽕
양식,2019-05-25 17:17:37.146425,샐러드
분식,2019-05-25 17:37:14.174324,오뎅
한식,2019-05-25 18:10:02.455370,김치전
한식,2019-05-25 18:13:47.709999,불고기
한식,2019-05-26 00:49:12.390034,된장찌개
분식,2019-05-26 04:53:10.917256,떡볶이
중식,2019-05-26 05:03:31.675358,자장면
중식,2019-05-26 05:47:01.302754,칠리새우
양식,2019-05-26 06:58:37.391049,피자
일식,2019-05-26 07:19:40.523944,라멘
한식,2019-05-26 14:06:50.513590,불고기
중식,2019-05-26 14:28:45.065567,칠리새우
중식,2019-05-26 15:55:19.083993,칠리새우
한식,2019-05-26 18:33:36.100524,불고기
중식,2019-05-26 22:20:56.744734,팔보채
중식,2019-05-27 06:27:01.046382,짬뽕
중식,2019-05-27 07:09:17.027567,자장면
양식,2019-05-27 07:42:52.747507,오믈렛
양식,2019-05-27 09:22:13.993612,샐러드
분식,2019-05-27 09:32:02.260757,오뎅
일식,2019-05-27 12:50:01.075381,사시미
분식,2019-05-27 13:04:02.247127,김밥
양식,2019-05-27 16:12:00.955581,파스타
중식,2019-05-27 19:48:48.913107,자장면
일식,2019-05-28 05:08:17.461944,가츠동
일식,2019-05-28 05:59:59.757445,사시미
분식,2019-05-28 08:07:55.880254,김밥
양식,2019-05-28 11:42:52.307328,샐러드
분식,2019-05-28 12:43:19.714633,떡볶이
한식,2019-05-28 13:10:30.631756,불고기
한식,2019-05-28 13:56:34.289013,김치전
일식,2019-05-28 14:01:04.770100,라멘
분식,2019-05-28 14:58:06.100005,떡볶이
일식,2019-05-28 15:36:18.796987,우동
일식,2019-05-28 16:53:09.017313,우동
양식,2019-05-28 17:56:39.791294,스테이크
한식,2019-05-28 20:38:56.068413,비빔밥
일식,2019-05-28 21:32:45.804845,초밥
한식,2019-05-29 01:11:12.432259,떡갈비
한식,2019-05-29 02:21:07.321085,김치전
일식,2019-05-29 03:28:44.515534,사시미
한식,2019-05-29 03:52:47.851279,불고기
일식,2019-05-29 16:18:37.090401,사시미
일식,2019-05-29 16:49:29.082398,초밥
한식,2019-05-29 17:20:00.200831,떡갈비
분식,2019-05-30 00:58:54.528457,떡볶이
중식,2019-05-30 01:57:39.558215,자장면
분식,2019-05-30 03:46:31.029480,순대
일식,2019-05-30 04:49:36.570948,텐동
중식,2019-05-30 07:15:33.890204,팔보채
양식,2019-05-30 08:25:15.354169,파스타
일식,2019-05-30 10:05:14.012577,우동
일식,2019-05-30 15:36:22.328028,가츠동
