Search_Category,Search_Time,Search_Word,id
중식,2019-06-04 03:29:17.838108,칠리새우,1
분식,2019-06-04 05:07:46.834719,순대,1
분식,2019-06-04 10:50:15.270265,오뎅,1
중식,2019-06-04 11:01:35.414352,짬뽕,1
분식,2019-06-04 11:02:13.755845,튀김,1
한식,2019-06-04 17:33:31.375516,된장찌개,1
중식,2019-06-04 17:50:21.182569,팔보채,1
중식,2019-06-04 18:20:45.363377,팔보채,1
중식,2019-06-04 21:10:41.811916,탕수육,1
한식,2019-06-04 23:46:23.752289,불고기,1
일식,2019-06-05 00:04:44.752773,텐동,1
일식,2019-06-05 00:51:44.909073,우동,1
한식,2019-06-05 06:39:14.787509,불고기,1
한식,2019-06-05 08:27:21.382755,불고기,1
한식,2019-06-05 09:48:38.233353,떡갈비,1
일식,2019-06-05 10:27:41.169712,우동,1
한식,2019-06-05 15:58:51.565422,떡갈비,1
분식,2019-06-05 16:21:44.780246,오뎅,1
양식,2019-06-06 00:24:37.902566,오믈렛,1
분식,2019-06-06 00:44:38.660223,오뎅,1
일식,2019-06-06 02:03:46.504373,우동,1
중식,2019-06-06 02:59:03.644766,짬뽕,1
분식,2019-06-06 03:37:04.730445,김밥,1
분식,2019-06-06 06:09:16.168761,김밥,1
양식,2019-06-06 06:31:55.393507,스테이크,1
분식,2019-06-06 07:01:17.090105,김밥,1
중식,2019-06-06 07:07:14.124198,칠리새우,1
양식,2019-06-06 08:12:06.490404,스테이크,1
일식,2019-06-06 09:10:12.283404,가츠동,1
한식,2019-06-06 12:36:28.869586,불고기,1
양식,2019-06-06 13:27:33.558398,오믈렛,1
한식,2019-06-06 18:40:48.837747,김치전,1
일식,2019-06-06 21:00:57.528042,사시미,1
일식,2019-06-06 21:10:48.319764,우동,1
분식,2019-06-06 21:34:02.669761,오뎅,1
일식,2019-06-07 00:06:25.123713,초밥,1
일식,2019-06-07 05:38:14.577347,텐동,1
분식,2019-06-07 06:15:21.718155,순대,1
중식,2019-06-07 09:58:10.948863,짬뽕,1
한식,2019-06-07 10:04:00.390579,불고기,1
일식,2019-06-07 13:19:23.845455,우동,1
한식,2019-06-07 13:57:11.133973,불고기,1
중식,2019-06-07 15:01:00.791719,자장면,1
일식,2019-06-07 17:04:21.664617,라멘,1
중식,2019-06-07 19:50:38.847588,칠리새우,1
한식,2019-06-07 20:20:43.128682,김치전,1
한식,2019-06-07 20:41:44.712583,불고기,1
분식,2019-06-07 22:57:15.169038,튀김,1
분식,2019-06-07 23:44:34.134224,순대,1
분식,2019-06-08 00:51:23.186751,튀김,1
중식,2019-06-08 02:42:09.052603,팔보채,1
양식,2019-06-08 06:55:17.254162,스테이크,1
중식,2019-06-08 06:56:16.441382,자장면,1
분식,2019-06-08 09:04:35.121689,오뎅,1
일식,2019-06-08 09:50:12.047819,사시미,1
중식,2019-06-08 10:11:47.375437,탕수육,1
일식,2019-06-08 11:36:45.080067,초밥,1
분식,2019-06-08 14:12:55.509862,김밥,1
한식,2019-06-08 17:34:11.969003,김치전,1
중식,2019-06-08 17:55:45.666882,자장면,1
한식,2019-06-08 19:06:07.866122,불고기,1
양식,2019-06-08 23:56:37.860510,햄버거,1
일식,2019-06-09 00:55:43.314658,우동,1
분식,2019-06-09 05:23:16.431851,떡볶이,1
양식,2019-06-09 07:00:01.785160,피자,1
분식,2019-06-09 09:03:08.481383,떡볶이,1
한식,2019-06-09 11:30:02.431573,불고기,1
한식,2019-06-09 16:21:19.806176,불고기,1
양식,2019-06-09 16:57:54.725810,피자,1
분식,2019-06-09 17:18:01.814152,순대,1
중식,2019-06-09 19:21:58.381370,팔보채,1
한식,2019-06-09 21:35:44.784332,불고기,1
중식,2019-06-09 22:36:19.873703,팔보채,1
분식,2019-06-10 00:41:52.077036,오뎅,1
한식,2019-06-10 01:37:19.442757,불고기,1
분식,2019-06-10 02:14:05.218182,떡볶이,1
한식,2019-06-10 03:39:27.379625,된장찌개,1
일식,2019-06-10 05:10:20.201768,가츠동,1
일식,2019-06-10 10:42:54.929339,우동,1
중식,2019-06-10 11:43:20.611194,자장면,1
중식,2019-06-10 11:44:01.536713,자장면,1
일식,2019-06-10 11:46:03.341805,텐동,1
한식,2019-06-10 13:12:37.568145,불고기,1
일식,2019-06-10 15:57:30.273651,가츠동,1
일식,2019-06-10 17:08:39.779863,가츠동,1
중식,2019-06-10 19:35:12.308414,탕수육,1
한식,2019-06-10 21:48:51.988938,된장찌개,1
양식,2019-06-10 22:30:21.223940,샐러드,1
중식,2019-06-10 23:22:35.561110,짬뽕,1
양식,2019-06-11 02:24:27.957869,피자,1
한식,2019-06-06 19:52:22.996066,떡갈비,1
한식,2019-06-06 20:03:29.209108,비빔밥,1
중식,2019-06-06 20:09:45.658374,칠리새우,1
한식,2019-06-06 23:34:10.012897,떡갈비,1
한식,2019-06-06 23:49:37.279652,떡갈비,1
한식,2019-06-06 23:52:52.204999,떡갈비,1
중식,2019-06-06 23:53:40.217409,칠리새우,1
한식,2019-06-07 00:29:53.738669,김치전,1
한식,2019-06-07 02:46:49.037848,떡갈비,1
한식,2019-06-07 09:49:49.207461,된장찌개,1
